id_str,group,topic_tweet_count,topic_orig_tweet_count,statuses_count,favourites_count,classifier_score,followers_count,friends_count,friend_follow_ratio,days_since_create,condition,block
386111756,22,4,0,28396,777,0.244,63,143,2.25,3868,c,22_75
1961075550,22,4,0,2669,755,0.224,61,584,9.43548387096774,3129,c,22_124
839700376584605696,22,3,2,3686,2744,0.102,61,344,5.56451612903226,1888,t,22_26
2371341656,22,3,0,30538,29498,0.206,61,342,5.53225806451613,2989,c,22_24
771343232,22,2,0,1635,13595,0.212,60,673,11.0491803278689,3548,c,22_77
1082266421940445184,22,2,0,51676,57232,0.19,60,125,2.0655737704918,1218,c,22_62
2787344070,22,3,0,18248,3655,0.31,59,450,7.51666666666667,2806,t,22_48
2575287570,22,2,0,5804,10961,0.14,59,392,6.55,2882,t,22_30
2970371589,22,2,2,1531,364,0.19,59,336,5.61666666666667,2677,t,22_102
3064556536,22,8,0,24347,46277,0.526,59,237,3.96666666666667,2628,c,22_100
809386071498850305,22,2,0,1896,8762,0.186,58,1600,15.6242113564669,1971,c,22_76
230501517,22,2,0,9061,46150,0.302,57,362,6.25862068965517,4153,c,22_77
3407764216,22,4,1,10145,2593,0.118,57,302,5.22413793103448,2467,t,22_26
91029469,22,2,0,10513,17071,0.204,57,201,3.48275862068966,4555,t,22_112
221486343,22,6,0,5343,21993,0.292,56,171,3.01754385964912,4178,c,22_78
868083735660564480,22,2,2,5925,9315,0.122,54,420,7.65454545454545,1809,t,22_79
38389168,22,8,0,13822,33421,0.466,54,191,3.49090909090909,4751,t,22_78
4316445197,22,4,0,31901,42587,0.594,54,136,2.49090909090909,2354,t,22_32
571842022,22,3,3,1179,1664,0.006,53,229,4.25925925925926,3656,c,22_97
780863946,22,3,0,26496,68664,0.59,53,113,2.11111111111111,3544,c,22_49
832257027103739906,22,2,0,7602,1569,0.15,52,864,15.6242113564669,1908,c,22_76
795884401255124992,22,4,0,19177,20383,0.23,52,373,7.05660377358491,2009,t,22_113
49243841,22,3,0,15454,7688,0.58,52,323,6.11320754716981,4706,c,22_34
3872094741,22,2,0,18365,4338,0.346,52,302,5.71698113207547,2408,t,22_30
635769651,22,2,1,20875,7667,0.048,52,183,3.47169811320755,3586,c,22_67
232902885,22,4,4,383,337,0.116,52,134,2.54716981132075,4146,c,22_125
3063866435,22,2,0,24809,88476,0.522,52,122,2.32075471698113,2629,t,22_49
442374179,22,2,1,8204,25487,0.248,51,462,8.90384615384615,3793,t,22_77
796306428516597760,22,2,0,11326,69868,0.268,51,279,5.38461538461539,2007,t,22_106
886617360882216961,22,4,4,1534,659,0.088,51,181,3.5,1758,c,22_120
1002651826917986304,22,2,0,21226,8485,0.23,51,157,3.03846153846154,1438,c,22_127
818493680197701633,22,2,2,1093,1580,0.104,51,114,2.21153846153846,1946,c,22_70
2802068282,22,6,0,20111,10842,0.206,50,211,4.15686274509804,2798,t,22_57
15679943,22,6,0,20373,11445,0.458,50,184,3.62745098039216,4751,c,22_78
100976474,22,2,1,1677,3311,0.128,49,1706,15.6242113564669,4511,c,22_36
